127.0.0.1 - - [12/May/2021:16:24:37 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2021:16:24:43 +0700] "GET /PT15304/User HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:24:43 +0700] "GET /PT15304/login HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [12/May/2021:16:24:43 +0700] "GET /PT15304/login.css HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [12/May/2021:16:24:45 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:04 +0700] "POST /PT15304/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:04 +0700] "GET /PT15304/admin/users HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:12 +0700] "GET /PT15304/User HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:15 +0700] "GET /PT15304/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:15 +0700] "GET /PT15304/login HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:15 +0700] "GET /PT15304/login.css HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:24 +0700] "POST /PT15304/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:24 +0700] "GET /PT15304/login HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [12/May/2021:16:27:24 +0700] "GET /PT15304/login.css HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [12/May/2021:16:28:23 +0700] "POST /PT15304/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2021:16:28:23 +0700] "GET /PT15304/UserLayOut HTTP/1.1" 200 5703
